ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,,,Girls Two Piece Swimsuit,1,0,visible,,"<p>This cute and comfortable swimsuit bikini set is designed for Baby girls who love to swim and have fun in the water. The bikini set comes in vibrant colors and stylish design, perfect for any beach or poolside activity.</p><p><strong>Features:</strong></p><ul><li>The Two-piece swimsuit set includes a top and bottom</li><li>Made of high-quality polyester material</li><li>Soft and comfortable to wear</li><li>Quick-drying fabric</li><li>Stylish and eye-catching design</li><li>Adjustable straps for a comfortable fit</li><li>Suitable For Beach Holiday, Pool Parties,Bathing, Swimming</li><li>Available in various sizes to fit different body types</li></ul><p><strong>Wash care instructions: </strong></p><ul><li>Hand wash with cold water</li><li>Do not bleach</li><li>Hang dry in the shade</li><li>Do not iron</li><li>Do not tumble dry</li></ul><p><strong>Items included in the package:</strong></p><ul><li>Top</li><li>Bottom</li><li>Headband</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,925,"Clothes > Girls, Clothes, Clothes > Girls > swimwear",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/2_36b53410-b075-4e1f-9184-2de98912d787.jpg?v=1680166939,,,,,,,,,0,,,,,,,,
,,,Girls Two Piece Swimsuit,1,0,visible,,"<p>This cute and comfortable swimsuit bikini set is designed for Baby girls who love to swim and have fun in the water. The bikini set comes in vibrant colors and stylish design, perfect for any beach or poolside activity.</p><p><strong>Features:</strong></p><ul><li>The Two-piece swimsuit set includes a top and bottom</li><li>Made of high-quality polyester material</li><li>Soft and comfortable to wear</li><li>Quick-drying fabric</li><li>Stylish and eye-catching design</li><li>Adjustable straps for a comfortable fit</li><li>Suitable For Beach Holiday, Pool Parties,Bathing, Swimming</li><li>Available in various sizes to fit different body types</li></ul><p><strong>Wash care instructions: </strong></p><ul><li>Hand wash with cold water</li><li>Do not bleach</li><li>Hang dry in the shade</li><li>Do not iron</li><li>Do not tumble dry</li></ul><p><strong>Items included in the package:</strong></p><ul><li>Top</li><li>Bottom</li><li>Headband</li></ul>",,,taxable,,1,20,,0,0,,,,,1,,,925,"Clothes > Girls, Clothes, Clothes > Girls > swimwear",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/3_5000c1ca-9d09-406c-b6a9-0b4814ae0c01.jpg?v=1680166940,,,,,,,,,0,,,,,,,,
,,,Girls Two Piece Swimsuit,1,0,visible,,"<p>This cute and comfortable swimsuit bikini set is designed for Baby girls who love to swim and have fun in the water. The bikini set comes in vibrant colors and stylish design, perfect for any beach or poolside activity.</p><p><strong>Features:</strong></p><ul><li>The Two-piece swimsuit set includes a top and bottom</li><li>Made of high-quality polyester material</li><li>Soft and comfortable to wear</li><li>Quick-drying fabric</li><li>Stylish and eye-catching design</li><li>Adjustable straps for a comfortable fit</li><li>Suitable For Beach Holiday, Pool Parties,Bathing, Swimming</li><li>Available in various sizes to fit different body types</li></ul><p><strong>Wash care instructions: </strong></p><ul><li>Hand wash with cold water</li><li>Do not bleach</li><li>Hang dry in the shade</li><li>Do not iron</li><li>Do not tumble dry</li></ul><p><strong>Items included in the package:</strong></p><ul><li>Top</li><li>Bottom</li><li>Headband</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,925,"Clothes > Girls, Clothes, Clothes > Girls > swimwear",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/4_40464a55-8667-4567-850d-b8369571fec3.jpg?v=1680166938,,,,,,,,,0,,,,,,,,
,,,Girls Two Piece Swimsuit,1,0,visible,,"<p>This cute and comfortable swimsuit bikini set is designed for Baby girls who love to swim and have fun in the water. The bikini set comes in vibrant colors and stylish design, perfect for any beach or poolside activity.</p><p><strong>Features:</strong></p><ul><li>The Two-piece swimsuit set includes a top and bottom</li><li>Made of high-quality polyester material</li><li>Soft and comfortable to wear</li><li>Quick-drying fabric</li><li>Stylish and eye-catching design</li><li>Adjustable straps for a comfortable fit</li><li>Suitable For Beach Holiday, Pool Parties,Bathing, Swimming</li><li>Available in various sizes to fit different body types</li></ul><p><strong>Wash care instructions: </strong></p><ul><li>Hand wash with cold water</li><li>Do not bleach</li><li>Hang dry in the shade</li><li>Do not iron</li><li>Do not tumble dry</li></ul><p><strong>Items included in the package:</strong></p><ul><li>Top</li><li>Bottom</li><li>Headband</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,925,"Clothes > Girls, Clothes, Clothes > Girls > swimwear",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/5_3c16dde5-b2a4-4d76-b3e7-8cb2d75af462.jpg?v=1680166939,,,,,,,,,0,,,,,,,,
,,,Girls Two Piece Swimsuit,1,0,visible,,"<p>This cute and comfortable swimsuit bikini set is designed for Baby girls who love to swim and have fun in the water. The bikini set comes in vibrant colors and stylish design, perfect for any beach or poolside activity.</p><p><strong>Features:</strong></p><ul><li>The Two-piece swimsuit set includes a top and bottom</li><li>Made of high-quality polyester material</li><li>Soft and comfortable to wear</li><li>Quick-drying fabric</li><li>Stylish and eye-catching design</li><li>Adjustable straps for a comfortable fit</li><li>Suitable For Beach Holiday, Pool Parties,Bathing, Swimming</li><li>Available in various sizes to fit different body types</li></ul><p><strong>Wash care instructions: </strong></p><ul><li>Hand wash with cold water</li><li>Do not bleach</li><li>Hang dry in the shade</li><li>Do not iron</li><li>Do not tumble dry</li></ul><p><strong>Items included in the package:</strong></p><ul><li>Top</li><li>Bottom</li><li>Headband</li></ul>",,,taxable,,1,5,,0,0,,,,,1,,,925,"Clothes > Girls, Clothes, Clothes > Girls > swimwear",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/extra_644b2436-7121-4b41-905b-6a655f621f34.jpg?v=1680166939,,,,,,,,,0,,,,,,,,
,,,Graphic Print T-shirt and Shorts Set,1,0,visible,,"<p>Suitable for kids' everyday casual wear, outdoor play, holidays, birthday parties, and family gatherings.</p><p><strong>Features </strong></p><ul><li>Perfect gift: A summer boy’s T-Shirt and Shorts Set is ideal for your toddler boys for birthdays, Christmas, and Children's Day.</li><li>Fashionable design: Cartoon print, short-sleeved round-neck T-shirt tops, and summer stretchy casual denim shorts, perfect for daily summer wear, sure to get many compliments.</li><li>Comfortable material: Summer children's casual T-Shirt and shorts set made of cotton Spandex, soft and comfortable, breathable, does not stimulate baby's delicate skin, and summer relaxed feeling.</li><li>Many occasions: Boys' summer t-shirt sets are perfect for kids' daily casual wear, outdoor play, holidays, birthday parties, and family gatherings.</li><li>Collar: O-Neck</li></ul><p><strong>Sizes Available</strong></p><ul><li>18-24 Months</li><li>2-3 Years</li><li>3-4 Years</li><li>4-5 Years</li><li>5-6 Years</li></ul><p><strong>Wash Care Instructions</strong><br>Gentle Wash</p><p><strong>Items Included in the Package</strong></p><ul><li>1 T-Shirt, 1 Short</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,1175,"Clothes > Boys, Clothes, Clothes > Boys > Regular-Wear-Boys",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/2_4a1492dd-b40f-48d2-8dbe-594f441b811a.jpg?v=1680160728,,,,,,,,,0,,,,,,,,
,,,Graphic Print T-shirt and Shorts Set,1,0,visible,,"<p>Suitable for kids' everyday casual wear, outdoor play, holidays, birthday parties, and family gatherings.</p><p><strong>Features </strong></p><ul><li>Perfect gift: A summer boy’s T-Shirt and Shorts Set is ideal for your toddler boys for birthdays, Christmas, and Children's Day.</li><li>Fashionable design: Cartoon print, short-sleeved round-neck T-shirt tops, and summer stretchy casual denim shorts, perfect for daily summer wear, sure to get many compliments.</li><li>Comfortable material: Summer children's casual T-Shirt and shorts set made of cotton Spandex, soft and comfortable, breathable, does not stimulate baby's delicate skin, and summer relaxed feeling.</li><li>Many occasions: Boys' summer t-shirt sets are perfect for kids' daily casual wear, outdoor play, holidays, birthday parties, and family gatherings.</li><li>Collar: O-Neck</li></ul><p><strong>Sizes Available</strong></p><ul><li>18-24 Months</li><li>2-3 Years</li><li>3-4 Years</li><li>4-5 Years</li><li>5-6 Years</li></ul><p><strong>Wash Care Instructions</strong><br>Gentle Wash</p><p><strong>Items Included in the Package</strong></p><ul><li>1 T-Shirt, 1 Short</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,1175,"Clothes > Boys, Clothes, Clothes > Boys > Regular-Wear-Boys",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/1_4deaf5a8-7afe-44aa-81e3-14de22a7eb7a.jpg?v=1680160728,,,,,,,,,0,,,,,,,,
,,,Graphic Print T-shirt and Shorts Set,1,0,visible,,"<p>Suitable for kids' everyday casual wear, outdoor play, holidays, birthday parties, and family gatherings.</p><p><strong>Features </strong></p><ul><li>Perfect gift: A summer boy’s T-Shirt and Shorts Set is ideal for your toddler boys for birthdays, Christmas, and Children's Day.</li><li>Fashionable design: Cartoon print, short-sleeved round-neck T-shirt tops, and summer stretchy casual denim shorts, perfect for daily summer wear, sure to get many compliments.</li><li>Comfortable material: Summer children's casual T-Shirt and shorts set made of cotton Spandex, soft and comfortable, breathable, does not stimulate baby's delicate skin, and summer relaxed feeling.</li><li>Many occasions: Boys' summer t-shirt sets are perfect for kids' daily casual wear, outdoor play, holidays, birthday parties, and family gatherings.</li><li>Collar: O-Neck</li></ul><p><strong>Sizes Available</strong></p><ul><li>18-24 Months</li><li>2-3 Years</li><li>3-4 Years</li><li>4-5 Years</li><li>5-6 Years</li></ul><p><strong>Wash Care Instructions</strong><br>Gentle Wash</p><p><strong>Items Included in the Package</strong></p><ul><li>1 T-Shirt, 1 Short</li></ul>",,,taxable,,1,10,,0,0,,,,,1,,,1175,"Clothes > Boys, Clothes, Clothes > Boys > Regular-Wear-Boys",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/3_8f5a81b5-9b02-4716-9614-19466d948419.jpg?v=1679563147,,,,,,,,,0,,,,,,,,
,,,Graphic Print T-shirt and Shorts Set,1,0,visible,,"<p>Suitable for kids' everyday casual wear, outdoor play, holidays, birthday parties, and family gatherings.</p><p><strong>Features </strong></p><ul><li>Perfect gift: A summer boy’s T-Shirt and Shorts Set is ideal for your toddler boys for birthdays, Christmas, and Children's Day.</li><li>Fashionable design: Cartoon print, short-sleeved round-neck T-shirt tops, and summer stretchy casual denim shorts, perfect for daily summer wear, sure to get many compliments.</li><li>Comfortable material: Summer children's casual T-Shirt and shorts set made of cotton Spandex, soft and comfortable, breathable, does not stimulate baby's delicate skin, and summer relaxed feeling.</li><li>Many occasions: Boys' summer t-shirt sets are perfect for kids' daily casual wear, outdoor play, holidays, birthday parties, and family gatherings.</li><li>Collar: O-Neck</li></ul><p><strong>Sizes Available</strong></p><ul><li>18-24 Months</li><li>2-3 Years</li><li>3-4 Years</li><li>4-5 Years</li><li>5-6 Years</li></ul><p><strong>Wash Care Instructions</strong><br>Gentle Wash</p><p><strong>Items Included in the Package</strong></p><ul><li>1 T-Shirt, 1 Short</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,1175,"Clothes > Boys, Clothes, Clothes > Boys > Regular-Wear-Boys",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/4_83521fec-0fe2-4a8c-baf9-7af937fb9359.jpg?v=1679563147,,,,,,,,,0,,,,,,,,
,,,Baby Girl Body Suit / Romper,1,0,visible,,"<p data-pm-slice='1 1 []'>This Baby Girl Body Suit / Romper princess dress is the perfect summer outfit for your little girl. Made from 100% cotton, it is soft and breathable and has a comfortable O-neck collar. The solid pattern and short sleeve design make this bodysuit perfect for warm-weather activities like family gatherings, walks, or visits to the beach. Get yours today before supplies run out!</p><p><strong>Wash Care Instructions</strong><br>Hand/machine wash</p><p><strong>Items Included in Package</strong><br>1 Body Suit / Romper</p>",,,taxable,,1,5,,0,0,,,,,1,,,1340,"Clothes > Girls, Clothes, Clothes > Girls > Regular-wear-girls",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/1_6daf25f8-57eb-40d0-a307-3c53cb42d659.jpg?v=1675336952,,,,,,,,,0,,,,,,,,
,,,Baby Girl Body Suit / Romper,1,0,visible,,"<p data-pm-slice='1 1 []'>This Baby Girl Body Suit / Romper princess dress is the perfect summer outfit for your little girl. Made from 100% cotton, it is soft and breathable and has a comfortable O-neck collar. The solid pattern and short sleeve design make this bodysuit perfect for warm-weather activities like family gatherings, walks, or visits to the beach. Get yours today before supplies run out!</p><p><strong>Wash Care Instructions</strong><br>Hand/machine wash</p><p><strong>Items Included in Package</strong><br>1 Body Suit / Romper</p>",,,taxable,,1,,,0,0,,,,,1,,,1340,"Clothes > Girls, Clothes, Clothes > Girls > Regular-wear-girls",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/2_ad80cfdd-9283-4f70-b141-214a9769426b.jpg?v=1675336952,,,,,,,,,0,,,,,,,,
,,,Baby Girl Body Suit / Romper,1,0,visible,,"<p data-pm-slice='1 1 []'>This Baby Girl Body Suit / Romper princess dress is the perfect summer outfit for your little girl. Made from 100% cotton, it is soft and breathable and has a comfortable O-neck collar. The solid pattern and short sleeve design make this bodysuit perfect for warm-weather activities like family gatherings, walks, or visits to the beach. Get yours today before supplies run out!</p><p><strong>Wash Care Instructions</strong><br>Hand/machine wash</p><p><strong>Items Included in Package</strong><br>1 Body Suit / Romper</p>",,,taxable,,1,,,0,0,,,,,1,,,1340,"Clothes > Girls, Clothes, Clothes > Girls > Regular-wear-girls",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/3_65b55a37-c71d-489e-98f0-b4a3d18446d2.jpg?v=1675336952,,,,,,,,,0,,,,,,,,
,,,Baby Girl Body Suit / Romper,1,0,visible,,"<p data-pm-slice='1 1 []'>This Baby Girl Body Suit / Romper princess dress is the perfect summer outfit for your little girl. Made from 100% cotton, it is soft and breathable and has a comfortable O-neck collar. The solid pattern and short sleeve design make this bodysuit perfect for warm-weather activities like family gatherings, walks, or visits to the beach. Get yours today before supplies run out!</p><p><strong>Wash Care Instructions</strong><br>Hand/machine wash</p><p><strong>Items Included in Package</strong><br>1 Body Suit / Romper</p>",,,taxable,,1,,,0,0,,,,,1,,,1340,"Clothes > Girls, Clothes, Clothes > Girls > Regular-wear-girls",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/4_60115ac1-62ed-44de-b123-1490cdad89f0.jpg?v=1675336952,,,,,,,,,0,,,,,,,,
,,,Baby Girl Body Suit / Romper,1,0,visible,,"<p data-pm-slice='1 1 []'>This Baby Girl Body Suit / Romper princess dress is the perfect summer outfit for your little girl. Made from 100% cotton, it is soft and breathable and has a comfortable O-neck collar. The solid pattern and short sleeve design make this bodysuit perfect for warm-weather activities like family gatherings, walks, or visits to the beach. Get yours today before supplies run out!</p><p><strong>Wash Care Instructions</strong><br>Hand/machine wash</p><p><strong>Items Included in Package</strong><br>1 Body Suit / Romper</p>",,,taxable,,1,,,0,0,,,,,1,,,1340,"Clothes > Girls, Clothes, Clothes > Girls > Regular-wear-girls",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/ezgif-2-b132c44a4c_ab19afe0-918e-44a9-8694-a894d414bb19.jpg?v=1675336952,,,,,,,,,0,,,,,,,,
,,,Princess Shimmer Sequins Dress,1,0,visible,,"<p data-mce-fragment='1'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>A Shimmery dress with lace and sequins glitters and a pretty little bow is just perfect for parties or for a photoshoot! Dress your baby in this glittery </span><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>comfortable frock for babies</span><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'> made from cotton with a beautiful bow and decorative button in the front! The dress has a round neck with lace and full sleeves.</span></p><p data-mce-fragment='1'><strong>Features:</strong></p><ul data-mce-fragment='1'><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Shimmery dress with sequins and glitter body</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Shiny double bow with decorative button</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>A-line fitting dress in pullover style</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Soft cotton inlay for comfort</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Perfect for parties, photoshoots and events</span></li></ul><p data-mce-fragment='1'><strong>Wash care:</strong></p><ul data-mce-fragment='1'><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Wash with mild detergent</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Do not bleach; dry in shade</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Use normal water and not hot water</span></li></ul><p data-mce-fragment='1'><strong>Contents:</strong></p><ul><li><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>1 Shimmer Sequins dress</span></li></ul>",,,taxable,,1,10,,0,0,,,,,1,,665,950,"Clothes > Girls, Clothes, Clothes > Girls > Frocks",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/0_029a7601-d9b5-475b-addc-12a8f698a8df.png?v=1675343839,,,,,,,,,0,,,,,,,,
,,,Princess Shimmer Sequins Dress,1,0,visible,,"<p data-mce-fragment='1'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>A Shimmery dress with lace and sequins glitters and a pretty little bow is just perfect for parties or for a photoshoot! Dress your baby in this glittery </span><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>comfortable frock for babies</span><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'> made from cotton with a beautiful bow and decorative button in the front! The dress has a round neck with lace and full sleeves.</span></p><p data-mce-fragment='1'><strong>Features:</strong></p><ul data-mce-fragment='1'><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Shimmery dress with sequins and glitter body</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Shiny double bow with decorative button</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>A-line fitting dress in pullover style</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Soft cotton inlay for comfort</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Perfect for parties, photoshoots and events</span></li></ul><p data-mce-fragment='1'><strong>Wash care:</strong></p><ul data-mce-fragment='1'><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Wash with mild detergent</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Do not bleach; dry in shade</span></li><li style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>Use normal water and not hot water</span></li></ul><p data-mce-fragment='1'><strong>Contents:</strong></p><ul><li><span style='font-weight: 400;' data-mce-fragment='1' data-mce-style='font-weight: 400;'>1 Shimmer Sequins dress</span></li></ul>",,,taxable,,1,,,0,0,,,,,1,,665,950,"Clothes > Girls, Clothes, Clothes > Girls > Frocks",,,https://cdn.shopify.com/s/files/1/0712/8016/5175/products/1_871e7f0a-82ff-4c26-b0c1-6713027bb483.jpg?v=1675343839,,,,,,,,,0,,,,,,,,
